Instance_Name_Alias,Instance_Name,Instance_Memory_GiB,Number_vCPUs,Instance_Storage_Type_and_Capacity,Network_Performance,On_Demand_hourly_price,Linux_Reserved_Cost_1_Year_Hourly,Linux_Spot_Minimum_Cost_Hourly
M6ID Double Extra Large,m6id.2xlarge,32.0,8,474 GB NVMe SSD,Up to 12.5 Gigabit,0.4746,0.299,0.1739
M5N Double Extra Large,m5n.2xlarge,32.0,8,EBS only,Up to 25 Gigabit,0.476,0.3,0.2175
M2 High Memory Double Extra Large,m2.2xlarge,34.2,4,850 GB HDD,Moderate,0.49,0.222,0.1665
D3 Extra Large,d3.xlarge,32.0,4,5940 GB (3 * 1980 GB NVMe HDD),Up to 15 Gigabit,0.499,0.315,0.2063
C7GN Double Extra Large,c7gn.2xlarge,16.0,8,EBS only,Up to 50 Gigabit,0.4992,0.3145,0.1829
R5 Double Extra Large,r5.2xlarge,64.0,8,EBS only,Up to 10 Gigabit,0.504,0.318,0.2382
R6I Double Extra Large,r6i.2xlarge,64.0,8,EBS only,Up to 12.5 Gigabit,0.504,0.3334,0.208
C1 High-CPU Extra Large,c1.xlarge,7.0,8,1680 GB (4 * 420 GB HDD),High,0.52,0.364,0.1873
R5AD Double Extra Large,r5ad.2xlarge,64.0,8,300 GB NVMe SSD,Up to 10 Gigabit,0.524,0.33,0.2845
D3EN Extra Large,d3en.xlarge,16.0,4,27960 GB (2 * 13980 GB NVMe HDD),Up to 25 Gigabit,0.526,0.331,0.2026
G4DN Extra Large,g4dn.xlarge,16.0,4,125 GB NVMe SSD,Up to 25 Gigabit,0.526,0.331,0.2224
R7I Double Extra Large,r7i.2xlarge,64.0,8,EBS only,Up to 12.5 Gigabit,0.5292,0.3501,0.1438
M3 General Purpose Double Extra Large,m3.2xlarge,30.0,8,160 GB (2 * 80 GB SSD),High,0.532,0.38,0.2372
R4 High-Memory Double Extra Large,r4.2xlarge,61.0,8,EBS only,Up to 10 Gigabit,0.532,0.336,0.2346
G4AD Double Extra Large,g4ad.2xlarge,32.0,8,300 GB NVMe SSD,Up to 10 Gigabit,0.5412,0.3409,0.2408
C6G Quadruple Extra Large,c6g.4xlarge,32.0,16,EBS only,Up to 10 Gigabit,0.544,0.3427,0.2048
M5DN Double Extra Large,m5dn.2xlarge,32.0,8,300 GB NVMe SSD,Up to 25 Gigabit,0.544,0.343,0.2751
R7GD Double Extra Large,r7gd.2xlarge,64.0,8,474 GB NVMe SSD,Up to 15 Gigabit,0.5443,0.3421,0.2536
G5G Double Extra Large,g5g.2xlarge,16.0,8,EBS only,Up to 10 Gigabit,0.556,0.3503,0.2357
M6IN Double Extra Large,m6in.2xlarge,32.0,8,EBS only,Up to 40 Gigabit,0.5569,0.3509,0.2614
R5D Double Extra Large,r5d.2xlarge,64.0,8,300 GB NVMe SSD,Up to 10 Gigabit,0.576,0.363,0.3223
IS4GEN Extra Large,is4gen.xlarge,24.0,4,3750 GB NVMe SSD,Up to 25 Gigabit,0.5763,0.3931,0.2684
C7G Quadruple Extra Large,c7g.4xlarge,32.0,16,EBS only,Up to 15 Gigabit,0.58,0.3822,0.2521
R5N Double Extra Large,r5n.2xlarge,64.0,8,EBS only,Up to 25 Gigabit,0.596,0.375,0.2809
R5B Double Extra Large,r5b.2xlarge,64.0,8,EBS only,Up to 10 Gigabit,0.596,0.3755,0.3687
R6ID Double Extra Large,r6id.2xlarge,64.0,8,474 GB NVMe SSD,Up to 12.5 Gigabit,0.6048,0.3801,0.296
R7A Double Extra Large,r7a.2xlarge,64.0,8,EBS only,Up to 12.5 Gigabit,0.6086,0.4026,0.245
C6A Quadruple Extra Large,c6a.4xlarge,32.0,16,EBS only,Up to 12.5 Gigabit,0.612,0.4048,0.3105
C6GD Quadruple Extra Large,c6gd.4xlarge,32.0,16,950 GB NVMe SSD,Up to 10 Gigabit,0.6144,0.3871,0.2501
C5A Quadruple Extra Large,c5a.4xlarge,32.0,16,EBS only,Up to 10 Gigabit,0.616,0.388,0.2981
M6G Quadruple Extra Large,m6g.4xlarge,64.0,16,EBS only,Up to 10 Gigabit,0.616,0.3864,0.263
I4G Double Extra Large,i4g.2xlarge,64.0,8,1875 GB NVMe SSD,Up to 12 Gigabit,0.6178,0.4009,0.2506
I3 High I/O Double Extra Large,i3.2xlarge,61.0,8,1900 GB NVMe SSD,Up to 10 Gigabit,0.624,0.428,0.3011
M6IDN Double Extra Large,m6idn.2xlarge,32.0,8,474 GB NVMe SSD,Up to 40 Gigabit,0.6365,0.401,0.2834
G2 Double Extra Large,g2.2xlarge,15.0,8,60 GB SSD,Moderate,0.65,0.0,0.0
VT1 3xlarge,vt1.3xlarge,24.0,12,EBS only,3.12 Gigabit,0.65,0.4095,0.3045
M7G Quadruple Extra Large,m7g.4xlarge,64.0,16,EBS only,Up to 15 Gigabit,0.6528,0.4318,0.2792
M5ZN Double Extra Large,m5zn.2xlarge,32.0,8,EBS only,Up to 25 Gigabit,0.6607,0.4162,0.3538
R3 High-Memory Double Extra Large,r3.2xlarge,61.0,8,160 GB SSD,High,0.665,0.418,0.3113
X2GD Double Extra Large,x2gd.2xlarge,128.0,8,475 GB NVMe SSD,Up to 10 Gigabit,0.668,0.4117,0.3222
R5DN Double Extra Large,r5dn.2xlarge,64.0,8,300 GB NVMe SSD,Up to 25 Gigabit,0.668,0.421,0.3324
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32.0,16,EBS only,Up to 10 Gigabit,0.68,0.428,0.3009
C6I Quadruple Extra Large,c6i.4xlarge,32.0,16,EBS only,Up to 12.5 Gigabit,0.68,0.4498,0.3161
I4I Double Extra Large,i4i.2xlarge,64.0,8,1875 GB NVMe SSD,Up to 12 Gigabit,0.686,0.445,0.3094
M5A Quadruple Extra Large,m5a.4xlarge,64.0,16,EBS only,Up to 10 Gigabit,0.688,0.433,0.3426
C5AD Quadruple Extra Large,c5ad.4xlarge,32.0,16,600 GB (2 * 300 GB NVMe SSD),Up to 10 Gigabit,0.688,0.433,0.3192
D2 Extra Large,d2.xlarge,30.5,4,6144 GB (3 * 2048 GB HDD),Moderate,0.69,0.402,0.2485
M6A Quadruple Extra Large,m6a.4xlarge,64.0,16,EBS only,Up to 12.5 Gigabit,0.6912,0.4572,0.3724
C6GN Quadruple Extra Large,c6gn.4xlarge,32.0,16,EBS only,25 Gigabit,0.6912,0.4363,0.2877
R6IN Double Extra Large,r6in.2xlarge,64.0,8,EBS only,Up to 40 Gigabit,0.6973,0.4393,0.3536
C7I Quadruple Extra Large,c7i.4xlarge,32.0,16,EBS only,Up to 12.5 Gigabit,0.714,0.4723,0.3539
M6GD Quadruple Extra Large,m6gd.4xlarge,64.0,16,950 GB NVMe SSD,Up to 10 Gigabit,0.7232,0.4556,0.3307
C7GD Quadruple Extra Large,c7gd.4xlarge,32.0,16,950 GB NVMe SSD,Up to 15 Gigabit,0.7258,0.4574,0.2973
IM4GN Double Extra Large,im4gn.2xlarge,32.0,8,3750 GB NVMe SSD,Up to 25 Gigabit,0.7276,0.4666,0.2763
Z1D Double Extra Large,z1d.2xlarge,64.0,8,300 GB NVMe SSD,Up to 10 Gigabit,0.744,0.469,0.295
R7IZ Double Extra Large,r7iz.2xlarge,64.0,8,EBS only,Up to 12.5 Gigabit,0.744,0.4687,0.3417
G3S Extra Large,g3s.xlarge,30.5,4,EBS only,Up to 10 Gigabit,0.75,0.551,0.3668
G4DN Double Extra Large,g4dn.2xlarge,32.0,8,225 GB NVMe SSD,Up to 25 Gigabit,0.752,0.474,0.2974
INF2 Extra Large,inf2.xlarge,16.0,4,EBS only,Up to 15 Gigabit,0.7582,0.4777,0.308
M7I-FLEX Quadruple Extra Large,m7i-flex.4xlarge,64.0,16,EBS only,Up to 12.5 Gigabit,0.7661,0.5067,0.3466
M5 General Purpose Quadruple Extra Large,m5.4xlarge,64.0,16,EBS only,Up to 10 Gigabit,0.768,0.484,0.3087
M6I Quadruple Extra Large,m6i.4xlarge,64.0,16,EBS only,Up to 12.5 Gigabit,0.768,0.508,0.3019
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32.0,16,400 GB NVMe SSD,Up to 10 Gigabit,0.768,0.484,0.3444
R6IDN Double Extra Large,r6idn.2xlarge,64.0,8,474 GB NVMe SSD,Up to 40 Gigabit,0.7816,0.4924,0.4017
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30.0,16,EBS only,High,0.796,0.504,0.323
M4 General Purpose Quadruple Extra Large,m4.4xlarge,64.0,16,EBS only,High,0.8,0.4956,0.3391
C6ID Quadruple Extra Large,c6id.4xlarge,32.0,16,950 GB NVMe SSD,Up to 12.5 Gigabit,0.8064,0.5082,0.3498
M7I Quadruple Extra Large,m7i.4xlarge,64.0,16,EBS only,Up to 12.5 Gigabit,0.8064,0.5334,0.4025
R6G Quadruple Extra Large,r6g.4xlarge,128.0,16,EBS only,Up to 10 Gigabit,0.8064,0.508,0.3453
C7A Quadruple Extra Large,c7a.4xlarge,32.0,16,EBS only,Up to 12.5 Gigabit,0.8211,0.5432,0.416
M5AD Quadruple Extra Large,m5ad.4xlarge,64.0,16,600 GB (2 * 300 GB NVMe SSD),Up to 10 Gigabit,0.824,0.519,0.4101
G5G Quadruple Extra Large,g5g.4xlarge,32.0,16,EBS only,Up to 10 Gigabit,0.828,0.5216,0.3596
X2IEDN Extra Large,x2iedn.xlarge,128.0,4,118 GB NVMe SSD,Up to 25 Gigabit,0.8336,0.5129,0.3079
X1E Extra Large,x1e.xlarge,122.0,4,120 GB SSD,Up to 10 Gigabit,0.834,0.514,0.2933
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30.0,16,320 GB (2 * 160 GB SSD),High,0.84,0.584,0.3539
I2 Extra Large,i2.xlarge,30.5,4,800 GB SSD,Moderate,0.853,0.424,0.2924
M7GD Quadruple Extra Large,m7gd.4xlarge,64.0,16,950 GB NVMe SSD,Up to 15 Gigabit,0.8543,0.5382,0.3681
R7G Quadruple Extra Large,r7g.4xlarge,128.0,16,EBS only,Up to 15 Gigabit,0.8568,0.5668,0.41
C5N Quadruple Extra Large,c5n.4xlarge,42.0,16,EBS only,Up to 25 Gigabit,0.864,0.544,0.3808
G4AD Quadruple Extra Large,g4ad.4xlarge,64.0,16,600 GB NVMe SSD,Up to 10 Gigabit,0.867,0.5462,0.4206
P2 General Purpose GPU Extra Large,p2.xlarge,61.0,4,EBS only,High,0.9,0.614,0.387
I3EN Double Extra Large,i3en.2xlarge,64.0,8,5000 GB (2 * 2500 GB NVMe SSD),Up to 25 Gigabit,0.904,0.616,0.376
M5 General Purpose Quadruple Extra Large,m5d.4xlarge,64.0,16,600 GB (2 * 300 GB NVMe SSD),Up to 10 Gigabit,0.904,0.57,0.4345
R5A Quadruple Extra Large,r5a.4xlarge,128.0,16,EBS only,Up to 10 Gigabit,0.904,0.57,0.3832
R6A Quadruple Extra Large,r6a.4xlarge,128.0,16,EBS only,Up to 12.5 Gigabit,0.9072,0.6001,0.3572
C6IN Quadruple Extra Large,c6in.4xlarge,32.0,16,EBS only,Up to 50 Gigabit,0.9072,0.5715,0.3804
R6GD Quadruple Extra Large,r6gd.4xlarge,128.0,16,950 GB NVMe SSD,Up to 10 Gigabit,0.9216,0.5806,0.3603
M7A Quadruple Extra Large,m7a.4xlarge,64.0,16,EBS only,Up to 12.5 Gigabit,0.9274,0.6135,0.4042
H1 Quadruple Extra Large,h1.4xlarge,64.0,16,4000 GB (2 * 2000 GB HDD),Up to 10 Gigabit,0.936,0.636,0.3537
M6ID Quadruple Extra Large,m6id.4xlarge,64.0,16,950 GB NVMe SSD,Up to 12.5 Gigabit,0.9492,0.598,0.3872
M5N Quadruple Extra Large,m5n.4xlarge,64.0,16,EBS only,Up to 25 Gigabit,0.952,0.6,0.4725
M2 High Memory Quadruple Extra Large,m2.4xlarge,68.4,8,1680 GB (2 * 840 GB HDD),High,0.98,0.444,0.4252
M5ZN 3xlarge,m5zn.3xlarge,48.0,12,EBS only,Up to 25 Gigabit,0.991,0.6243,0.5476
C7GN Quadruple Extra Large,c7gn.4xlarge,32.0,16,EBS only,50 Gigabit,0.9984,0.629,0.3872
D3 Double Extra Large,d3.2xlarge,64.0,8,11880 GB (6 * 1980 GB NVMe HDD),Up to 15 Gigabit,0.999,0.629,0.3714
G5 Graphics and Machine Learning GPU Extra Large,g5.xlarge,16.0,4,250 GB NVMe SSD,Up to 10 Gigabit,1.006,0.6338,0.5302
R6I Quadruple Extra Large,r6i.4xlarge,128.0,16,EBS only,Up to 12.5 Gigabit,1.008,0.6668,0.4373
R5 Quadruple Extra Large,r5.4xlarge,128.0,16,EBS only,Up to 10 Gigabit,1.008,0.635,0.4836
R5AD Quadruple Extra Large,r5ad.4xlarge,128.0,16,600 GB (2 * 300 GB NVMe SSD),Up to 10 Gigabit,1.048,0.66,0.6078
D3EN Double Extra Large,d3en.2xlarge,32.0,8,55920 GB (4 * 13980 GB NVMe HDD),Up to 25 Gigabit,1.051,0.662,0.4348
R7I Quadruple Extra Large,r7i.4xlarge,128.0,16,EBS only,Up to 12.5 Gigabit,1.0584,0.7001,0.2898
R4 High-Memory Quadruple Extra Large,r4.4xlarge,122.0,16,EBS only,Up to 10 Gigabit,1.064,0.672,0.4382
M5DN Quadruple Extra Large,m5dn.4xlarge,64.0,16,600 GB (2 * 300 GB NVMe SSD),Up to 25 Gigabit,1.088,0.685,0.5789
C6G Eight Extra Large,c6g.8xlarge,64.0,32,EBS only,12 Gigabit,1.088,0.6854,0.4244
R7GD Quadruple Extra Large,r7gd.4xlarge,128.0,16,950 GB NVMe SSD,Up to 15 Gigabit,1.0886,0.6842,0.5532
M6IN Quadruple Extra Large,m6in.4xlarge,64.0,16,EBS only,Up to 50 Gigabit,1.1138,0.7017,0.5563
Z1D 3xlarge,z1d.3xlarge,96.0,12,450 GB NVMe SSD,Up to 10 Gigabit,1.116,0.703,0.5193
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,122.0,16,EBS only,Up to 10 Gigabit,1.14,0.7781,0.4437
R5D Quadruple Extra Large,r5d.4xlarge,128.0,16,600 GB (2 * 300 GB NVMe SSD),Up to 10 Gigabit,1.152,0.726,0.6191
IS4GEN Double Extra Large,is4gen.2xlarge,48.0,8,7500 GB NVMe SSD,Up to 25 Gigabit,1.1526,0.7861,0.4964
C7G Eight Extra Large,c7g.8xlarge,64.0,32,EBS only,15 Gigabit,1.16,0.7644,0.5268
INF1 6xlarge,inf1.6xlarge,48.0,24,EBS only,25 Gigabit,1.18,0.744,0.5097
R5N Quadruple Extra Large,r5n.4xlarge,128.0,16,EBS only,Up to 25 Gigabit,1.192,0.751,0.6975
R5B Quadruple Extra Large,r5b.4xlarge,128.0,16,EBS only,Up to 10 Gigabit,1.192,0.751,0.8918
G4DN Quadruple Extra Large,g4dn.4xlarge,64.0,16,225 GB NVMe SSD,Up to 25 Gigabit,1.204,0.759,0.5215
R6ID Quadruple Extra Large,r6id.4xlarge,128.0,16,950 GB NVMe SSD,Up to 12.5 Gigabit,1.2096,0.7602,0.6285
G5 Graphics and Machine Learning GPU Double Extra Large,g5.2xlarge,32.0,8,450 GB NVMe SSD,Up to 10 Gigabit,1.212,0.7636,0.632
R7A Quadruple Extra Large,r7a.4xlarge,128.0,16,EBS only,Up to 12.5 Gigabit,1.2172,0.8052,0.5593
C6A Eight Extra Large,c6a.8xlarge,64.0,32,EBS only,12.5 Gigabit,1.224,0.8097,0.6204
C6GD Eight Extra Large,c6gd.8xlarge,64.0,32,1900 GB NVMe SSD,12 Gigabit,1.2288,0.7741,0.4888
M6G Eight Extra Large,m6g.8xlarge,128.0,32,EBS only,12 Gigabit,1.232,0.7728,0.5247
C5A Eight Extra Large,c5a.8xlarge,64.0,32,EBS only,10 Gigabit,1.232,0.776,0.5816
I4G Quadruple Extra Large,i4g.4xlarge,128.0,16,3750 GB NVMe SSD,Up to 25 Gigabit,1.2355,0.8018,0.4539
I3 High I/O Quadruple Extra Large,i3.4xlarge,122.0,16,3800 GB (2 * 1900 GB NVMe SSD),Up to 10 Gigabit,1.248,0.857,0.5237
M6IDN Quadruple Extra Large,m6idn.4xlarge,64.0,16,950 GB NVMe SSD,Up to 50 Gigabit,1.273,0.802,0.564
VT1 6xlarge,vt1.6xlarge,48.0,24,EBS only,6.25 Gigabit,1.3,0.819,0.6176
M7G Eight Extra Large,m7g.8xlarge,128.0,32,EBS only,15 Gigabit,1.3056,0.8637,0.5811
R3 High-Memory Quadruple Extra Large,r3.4xlarge,122.0,16,320 GB SSD,High,1.33,0.836,0.5088
R5DN Quadruple Extra Large,r5dn.4xlarge,128.0,16,600 GB (2 * 300 GB NVMe SSD),Up to 25 Gigabit,1.336,0.842,0.7349
X2GD Quadruple Extra Large,x2gd.4xlarge,256.0,16,950 GB NVMe SSD,Up to 10 Gigabit,1.336,0.8233,0.5646
TRN1 Double Extra Large,trn1.2xlarge,32.0,8,474 GB NVMe SSD,Up to 12.5 Gigabit,1.3438,0.8268,0.4745
I3EN 3xlarge,i3en.3xlarge,96.0,12,7500 GB NVMe SSD,Up to 25 Gigabit,1.356,0.924,0.5122
C6I Eight Extra Large,c6i.8xlarge,64.0,32,EBS only,12.5 Gigabit,1.36,0.8996,0.6323
G5G Eight Extra Large,g5g.8xlarge,64.0,32,EBS only,12 Gigabit,1.372,0.8644,0.581
I4I Quadruple Extra Large,i4i.4xlarge,128.0,16,3750 GB NVMe SSD,Up to 25 Gigabit,1.373,0.891,0.6338
M5A Eight Extra Large,m5a.8xlarge,128.0,32,EBS only,Up to 10 Gigabit,1.376,0.867,0.6499
C5AD Eight Extra Large,c5ad.8xlarge,64.0,32,1200 GB (2 * 600 GB NVMe SSD),10 Gigabit,1.376,0.867,0.6644
D2 Double Extra Large,d2.2xlarge,61.0,8,12288 GB (6 * 2048 GB HDD),High,1.38,0.804,0.4742
C6GN Eight Extra Large,c6gn.8xlarge,64.0,32,EBS only,50 Gigabit,1.3824,0.8725,0.556
M6A Eight Extra Large,m6a.8xlarge,128.0,32,EBS only,12.5 Gigabit,1.3824,0.9145,0.587
R6IN Quadruple Extra Large,r6in.4xlarge,128.0,16,EBS only,Up to 50 Gigabit,1.3946,0.8786,0.6992
C7I Eight Extra Large,c7i.8xlarge,64.0,32,EBS only,12.5 Gigabit,1.428,0.9446,0.6613
M6GD Eight Extra Large,m6gd.8xlarge,128.0,32,1900 GB NVMe SSD,12 Gigabit,1.4464,0.9112,0.6562
C7GD Eight Extra Large,c7gd.8xlarge,64.0,32,1900 GB NVMe SSD,15 Gigabit,1.4515,0.9148,0.6564
IM4GN Quadruple Extra Large,im4gn.4xlarge,64.0,16,7500 GB NVMe SSD,25 Gigabit,1.4552,0.9332,0.5659
R7IZ Quadruple Extra Large,r7iz.4xlarge,128.0,16,EBS only,Up to 12.5 Gigabit,1.488,0.9374,0.7282
C5 High-CPU 9xlarge,c5.9xlarge,72.0,36,EBS only,12 Gigabit,1.53,0.964,0.6315
M7I-FLEX Eight Extra Large,m7i-flex.8xlarge,128.0,32,EBS only,Up to 12.5 Gigabit,1.5322,1.0135,0.65
M6I Eight Extra Large,m6i.8xlarge,128.0,32,EBS only,12.5 Gigabit,1.536,1.0161,0.5863
M5 General Purpose Eight Extra Large,m5.8xlarge,128.0,32,EBS only,10 Gigabit,1.536,0.968,0.6597
R6IDN Quadruple Extra Large,r6idn.4xlarge,128.0,16,950 GB NVMe SSD,Up to 50 Gigabit,1.5631,0.9848,0.7778
C4 High-CPU Eight Extra Large,c4.8xlarge,60.0,36,EBS only,10 Gigabit,1.591,1.008,0.6597
C6ID Eight Extra Large,c6id.8xlarge,64.0,32,1900 GB NVMe SSD,12.5 Gigabit,1.6128,1.0164,0.6696
M7I Eight Extra Large,m7i.8xlarge,128.0,32,EBS only,12.5 Gigabit,1.6128,1.0669,0.7164
R6G Eight Extra Large,r6g.8xlarge,256.0,32,EBS only,12 Gigabit,1.6128,1.0161,0.5869
G5 Graphics and Machine Learning GPU Quadruple Extra Large,g5.4xlarge,64.0,16,600 GB NVMe SSD,Up to 25 Gigabit,1.624,1.0231,0.6988
C6G 12xlarge,c6g.12xlarge,96.0,48,EBS only,20 Gigabit,1.632,1.0282,0.6885
C7A Eight Extra Large,c7a.8xlarge,64.0,32,EBS only,12.5 Gigabit,1.6422,1.0863,0.7854
M5AD Eight Extra Large,m5ad.8xlarge,128.0,32,1200 GB (2 * 600 GB NVMe SSD),Up to 10 Gigabit,1.648,1.038,0.7293
F1 Double Extra Large,f1.2xlarge,122.0,8,470 GB NVMe SSD,Up to 10 Gigabit,1.65,1.116,0.6165
X2IEDN Double Extra Large,x2iedn.2xlarge,256.0,8,237 GB NVMe SSD,Up to 25 Gigabit,1.6672,1.0259,0.6142
X2IEZN Double Extra Large,x2iezn.2xlarge,256.0,8,EBS only,Up to 25 Gigabit,1.668,1.0269,0.5846
X1E Double Extra Large,x1e.2xlarge,244.0,8,240 GB SSD,Up to 10 Gigabit,1.668,1.028,0.6407
C3 High-CPU Eight Extra Large,c3.8xlarge,60.0,32,640 GB (2 * 320 GB SSD),10 Gigabit,1.68,1.168,0.6744
HPC7G Eight Extra Large,hpc7g.8xlarge,128.0,32,EBS only,200 Gigabit,1.6832,1.3255,0.0
HPC7G 16xlarge,hpc7g.16xlarge,128.0,64,EBS only,200 Gigabit,1.6832,1.3255,0.0
HPC7G Quadruple Extra Large,hpc7g.4xlarge,128.0,16,EBS only,200 Gigabit,1.6832,1.3255,0.0
I2 Double Extra Large,i2.2xlarge,61.0,8,1600 GB (2 * 800 GB SSD),High,1.705,0.848,0.5789
M7GD Eight Extra Large,m7gd.8xlarge,128.0,32,1900 GB NVMe SSD,15 Gigabit,1.7086,1.0764,0.6683
R7G Eight Extra Large,r7g.8xlarge,256.0,32,EBS only,15 Gigabit,1.7136,1.1335,0.6985
C5 High-CPU 9xlarge,c5d.9xlarge,72.0,36,900 GB NVMe SSD,12 Gigabit,1.728,1.089,0.7839
G4AD Eight Extra Large,g4ad.8xlarge,128.0,32,1200 GB NVMe SSD,15 Gigabit,1.734,1.0924,0.7764
C7G 12xlarge,c7g.12xlarge,96.0,48,EBS only,22.5 Gigabit,1.74,1.1466,0.738
R5A Eight Extra Large,r5a.8xlarge,256.0,32,EBS only,Up to 10 Gigabit,1.808,1.139,0.7069
M5 General Purpose Eight Extra Large,m5d.8xlarge,128.0,32,1200 GB (2 * 600 GB NVMe SSD),10 Gigabit,1.808,1.139,0.903
R6A Eight Extra Large,r6a.8xlarge,256.0,32,EBS only,12.5 Gigabit,1.8144,1.2002,0.7273
C6IN Eight Extra Large,c6in.8xlarge,64.0,32,EBS only,50 Gigabit,1.8144,1.1431,0.7845
C6A 12xlarge,c6a.12xlarge,96.0,48,EBS only,18.75 Gigabit,1.836,1.2145,0.7966
C6GD 12xlarge,c6gd.12xlarge,96.0,48,2850 GB (2 * 1425 GB NVMe SSD),20 Gigabit,1.8432,1.1612,0.7884
R6GD Eight Extra Large,r6gd.8xlarge,256.0,32,1900 GB NVMe SSD,12 Gigabit,1.8432,1.1612,0.7004
C5A 12xlarge,c5a.12xlarge,96.0,48,EBS only,12 Gigabit,1.848,1.164,0.8187
M6G 12xlarge,m6g.12xlarge,192.0,48,EBS only,20 Gigabit,1.848,1.1592,0.7045
M7A Eight Extra Large,m7a.8xlarge,128.0,32,EBS only,12.5 Gigabit,1.8547,1.2269,0.7121
H1 Eight Extra Large,h1.8xlarge,128.0,32,8000 GB (4 * 2000 GB HDD),10 Gigabit,1.872,1.272,0.7806
M6ID Eight Extra Large,m6id.8xlarge,128.0,32,1900 GB NVMe SSD,12.5 Gigabit,1.8984,1.196,0.768
M5N Eight Extra Large,m5n.8xlarge,128.0,32,EBS only,25 Gigabit,1.904,1.2,0.9756
C5N 9xlarge,c5n.9xlarge,96.0,36,EBS only,50 Gigabit,1.944,1.225,0.7452
M7G 12xlarge,m7g.12xlarge,192.0,48,EBS only,22.5 Gigabit,1.9584,1.2955,0.7856
INF2 Eight Extra Large,inf2.8xlarge,128.0,32,EBS only,Up to 25 Gigabit,1.9679,1.2397,0.7823
M5ZN 6xlarge,m5zn.6xlarge,96.0,24,EBS only,50 Gigabit,1.982,1.2487,0.9182
C7GN Eight Extra Large,c7gn.8xlarge,64.0,32,EBS only,100 Gigabit,1.9968,1.258,0.7454
D3 Quadruple Extra Large,d3.4xlarge,128.0,16,23760 GB (12 * 1980 GB NVMe HDD),Up to 15 Gigabit,1.998,1.259,0.7502
M4 General Purpose Deca Extra Large,m4.10xlarge,160.0,40,EBS only,10 Gigabit,2.0,1.239,0.9481
R5 Eight Extra Large,r5.8xlarge,256.0,32,EBS only,10 Gigabit,2.016,1.27,0.8642
R6I Eight Extra Large,r6i.8xlarge,256.0,32,EBS only,12.5 Gigabit,2.016,1.3336,0.8465
C5 High-CPU 12xlarge,c5.12xlarge,96.0,48,EBS only,12 Gigabit,2.04,1.285,0.8427
C6I 12xlarge,c6i.12xlarge,96.0,48,EBS only,18.75 Gigabit,2.04,1.3495,0.8768
M5A 12xlarge,m5a.12xlarge,192.0,48,EBS only,10 Gigabit,2.064,1.3,0.9504
C5AD 12xlarge,c5ad.12xlarge,96.0,48,1800 GB (2 * 900 GB NVMe SSD),12 Gigabit,2.064,1.3,0.8641
C6GN 12xlarge,c6gn.12xlarge,96.0,48,EBS only,75 Gigabit,2.0736,1.3088,0.8706
M6A 12xlarge,m6a.12xlarge,192.0,48,EBS only,18.75 Gigabit,2.0736,1.3717,0.9775
R5AD Eight Extra Large,r5ad.8xlarge,256.0,32,1200 GB (2 * 600 GB NVMe SSD),Up to 10 Gigabit,2.096,1.32,1.0545
D3EN Quadruple Extra Large,d3en.4xlarge,64.0,16,111840 GB (8 * 13980 GB NVMe HDD),25 Gigabit,2.103,1.325,0.81
R7I Eight Extra Large,r7i.8xlarge,256.0,32,EBS only,12.5 Gigabit,2.1168,1.4003,0.6045
R4 High-Memory Eight Extra Large,r4.8xlarge,244.0,32,EBS only,10 Gigabit,2.128,1.344,0.8708
C7I 12xlarge,c7i.12xlarge,96.0,48,EBS only,18.75 Gigabit,2.142,1.4169,0.9158
M6GD 12xlarge,m6gd.12xlarge,192.0,48,2850 GB (2 * 1425 GB NVMe SSD),20 Gigabit,2.1696,1.3668,0.8352
G4DN Eight Extra Large,g4dn.8xlarge,128.0,32,900 GB NVMe SSD,50 Gigabit,2.176,1.371,0.8298
C6G 16xlarge,c6g.16xlarge,128.0,64,EBS only,25 Gigabit,2.176,1.3709,0.888
M5DN Eight Extra Large,m5dn.8xlarge,128.0,32,1200 GB (2 * 600 GB NVMe SSD),25 Gigabit,2.176,1.371,1.1061
C6G Metal,c6g.metal,128.0,64,EBS only,25 Gigabit,2.176,1.3709,0.9608
R7GD Eight Extra Large,r7gd.8xlarge,256.0,32,1900 GB NVMe SSD,15 Gigabit,2.1773,1.3684,1.1371
C7GD 12xlarge,c7gd.12xlarge,96.0,48,2850 GB (2 * 1425 GB NVMe SSD),22.5 Gigabit,2.1773,1.3721,0.9158
M6IN Eight Extra Large,m6in.8xlarge,128.0,32,EBS only,50 Gigabit,2.2277,1.4034,1.0884
Z1D 6xlarge,z1d.6xlarge,192.0,24,900 GB NVMe SSD,12 Gigabit,2.232,1.406,0.8671
G3 Graphics GPU Eight Extra Large,g3.8xlarge,244.0,32,EBS only,10 Gigabit,2.28,1.5561,0.9469
M5 General Purpose 12xlarge,m5.12xlarge,192.0,48,EBS only,12 Gigabit,2.304,1.452,0.9797
R5D Eight Extra Large,r5d.8xlarge,256.0,32,1200 GB (2 * 600 GB NVMe SSD),10 Gigabit,2.304,1.452,0.9612
C5 High-CPU 12xlarge,c5d.12xlarge,96.0,48,1800 GB (2 * 900 GB NVMe SSD),12 Gigabit,2.304,1.452,0.9012
